UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,Temperature Difference,Mechanical Load Proxy,Torque Speed Ratio
46,L47225,L,298.8,309.1,1489.0,49.1,128.0,0,0,10.300000000000011,73109.90000000001,0.03295302013422819
47,M14906,M,298.7,309.0,1843.0,25.8,130.0,0,0,10.300000000000011,47549.4,0.013991323210412148
48,L47227,L,298.8,309.1,1418.0,46.3,133.0,0,0,10.300000000000011,65653.4,0.03262861169837914
49,H29462,H,298.8,309.2,1425.0,53.9,135.0,0,0,10.399999999999977,76807.5,0.037798036465638146
50,M14909,M,298.9,309.2,1412.0,44.1,140.0,0,0,10.300000000000011,62269.200000000004,0.031210191082802548
51,L47230,L,298.9,309.1,2861.0,4.6,143.0,1,0,10.200000000000045,13160.599999999999,0.0016072676450034939
52,L47231,L,298.9,309.1,1383.0,54.9,145.0,0,0,10.200000000000045,75926.7,0.039667630057803466
53,H29466,H,298.8,309.0,1497.0,43.8,147.0,0,0,10.199999999999989,65568.59999999999,0.029238985313751666
54,L47233,L,298.7,309.0,1565.0,35.1,152.0,0,0,10.300000000000011,54931.5,0.022413793103448276
55,L47234,L,298.7,309.0,1691.0,30.1,154.0,0,0,10.300000000000011,50899.100000000006,0.017789598108747046
56,L47235,L,298.8,309.1,1512.0,40.7,156.0,0,0,10.300000000000011,61538.4,0.026900198281559817
57,L47236,L,298.8,309.1,1477.0,42.4,158.0,0,0,10.300000000000011,62624.799999999996,0.02868741542625169
58,L47237,L,298.8,309.1,1513.0,40.3,160.0,0,0,10.300000000000011,60973.899999999994,0.026618229854689562
59,M14918,M,298.8,309.0,1661.0,29.5,162.0,0,0,10.199999999999989,48999.5,0.017749699157641397
60,L47239,L,298.8,309.1,1378.0,54.4,165.0,0,0,10.300000000000011,74963.2,0.03944887599709935
61,L47240,L,298.8,309.1,1393.0,52.6,167.0,0,0,10.300000000000011,73271.8,0.03773314203730273
62,M14921,M,298.8,309.0,1592.0,38.2,169.0,0,0,10.199999999999989,60814.4,0.023979912115505337
63,L47242,L,298.8,309.0,1829.0,22.9,172.0,0,0,10.199999999999989,41884.1,0.012513661202185791
64,M14923,M,298.9,309.0,1812.0,25.9,174.0,0,0,10.100000000000023,46930.799999999996,0.014285714285714285
65,L47244,L,299.0,309.1,1523.0,38.6,177.0,0,0,10.100000000000023,58787.8,0.025328083989501312
66,L47245,L,299.0,309.1,1394.0,45.1,179.0,0,0,10.100000000000023,62869.4,0.03232974910394265
67,M14926,M,298.9,308.9,1679.0,28.7,181.0,0,0,10.0,48187.299999999996,0.017083333333333332
68,H29481,H,298.8,308.9,1466.0,44.1,184.0,0,0,10.099999999999966,64650.6,0.030061349693251534
69,L47248,L,298.8,308.9,1527.0,32.4,189.0,0,0,10.099999999999966,49474.799999999996,0.021204188481675393
70,L47249,L,298.9,309.0,1410.0,65.7,191.0,1,0,10.100000000000023,92637.0,0.046562721474131825
71,M14930,M,298.9,309.0,1924.0,22.6,193.0,0,0,10.100000000000023,43482.4,0.011740259740259742
72,L47251,L,298.9,309.1,1452.0,45.5,196.0,0,0,10.200000000000045,66066.0,0.03131452167928424
73,L47252,H,298.9,309.1,1369.0,44.4,198.0,0,0,10.200000000000045,60783.6,0.03240875912408759
74,L47253,L,299.0,309.1,1592.0,35.0,200.0,0,0,10.100000000000023,55720.0,0.02197112366603892
75,L47254,L,298.9,309.0,1601.0,32.3,202.0,0,0,10.100000000000023,51712.299999999996,0.02016229712858926
76,L47255,L,298.8,308.9,1379.0,46.7,204.0,0,0,10.099999999999966,64399.3,0.03384057971014493
77,L47256,L,298.8,308.9,1461.0,47.9,206.0,0,0,10.099999999999966,69981.9,0.03276333789329685
78,L47257,L,298.8,308.9,1455.0,41.3,208.0,1,1,10.099999999999966,60091.49999999999,0.028365384615384612
79,L47258,L,298.8,308.9,1398.0,51.5,0.0,0,0,10.099999999999966,71997.0,0.0368120085775554
80,L47259,L,298.8,308.9,1402.0,37.9,2.0,0,0,10.099999999999966,53135.799999999996,0.027013542409123306
81,H29494,H,298.8,308.8,1445.0,49.9,4.0,0,0,10.0,72105.5,0.03450899031811895
82,L47261,L,298.9,308.9,1450.0,47.5,9.0,0,0,10.0,68875.0,0.03273604410751206
83,L47262,L,298.9,308.9,1453.0,40.8,11.0,0,0,10.0,59282.399999999994,0.028060522696011003
84,L47263,L,299.0,309.0,1469.0,40.1,13.0,0,0,10.0,58906.9,0.027278911564625852
85,L47264,L,298.9,308.9,1422.0,47.6,15.0,0,0,10.0,67687.2,0.033450456781447646
86,M14945,M,299.0,309.0,1804.0,26.8,17.0,0,0,10.0,48347.200000000004,0.014847645429362882
87,H29500,H,299.0,309.0,1436.0,43.9,20.0,0,0,10.0,63040.4,0.030549756437021573
88,L47267,L,299.0,309.0,1544.0,31.8,25.0,0,0,10.0,49099.200000000004,0.02058252427184466
89,M14948,M,299.0,309.0,1419.0,45.2,27.0,0,0,10.0,64138.8,0.03183098591549296
90,M14949,M,298.9,308.9,1487.0,39.5,30.0,0,0,10.0,58736.5,0.026545698924731184
91,L47270,L,298.9,308.9,1753.0,25.8,33.0,0,0,10.0,45227.4,0.014709236031927024
92,L47271,L,298.9,308.9,1830.0,24.9,35.0,0,0,10.0,45567.0,0.013599126160567994
93,M14952,M,298.9,308.9,1727.0,27.1,37.0,0,0,10.0,46801.700000000004,0.01568287037037037
94,L47273,L,299.1,309.0,1450.0,43.0,40.0,0,0,9.899999999999977,62350.0,0.029634734665747762
95,L47274,L,299.0,308.9,1622.0,31.9,42.0,0,0,9.899999999999977,51741.799999999996,0.019654959950708564
96,M14955,M,299.0,309.0,1351.0,52.2,44.0,0,0,10.0,70522.2,0.038609467455621306
97,M14956,M,299.0,309.0,1575.0,35.3,47.0,0,0,10.0,55597.49999999999,0.022398477157360406
98,M14957,M,298.9,308.9,1750.0,29.9,50.0,0,0,10.0,52325.0,0.017075956596230724
99,L47278,L,298.9,308.8,1529.0,32.7,53.0,0,0,9.900000000000034,49998.3,0.021372549019607844
100,L47279,L,298.8,308.8,1523.0,44.4,55.0,0,0,10.0,67621.2,0.029133858267716535
101,L47280,L,298.8,308.9,1852.0,25.0,57.0,0,0,10.099999999999966,46300.0,0.013491635186184566
102,L47281,L,298.8,308.8,1991.0,20.7,59.0,0,0,10.0,41213.7,0.01039156626506024
103,L47282,L,298.8,308.8,1555.0,40.6,61.0,0,0,10.0,63133.0,0.02609254498714653
104,M14963,M,298.8,308.8,1441.0,40.5,63.0,0,0,10.0,58360.5,0.02808599167822469
105,L47284,L,298.8,308.7,1450.0,43.4,66.0,0,0,9.899999999999977,62930.0,0.02991040661612681
106,L47285,L,298.8,308.7,1591.0,31.1,68.0,0,0,9.899999999999977,49480.100000000006,0.019535175879396984
107,L47286,L,298.8,308.7,1445.0,48.5,70.0,0,0,9.899999999999977,70082.5,0.03354080221300138
108,M14967,M,298.8,308.8,1497.0,46.8,72.0,0,0,10.0,70059.59999999999,0.031241655540720958
109,H29522,H,298.9,308.8,1621.0,32.7,75.0,0,0,9.900000000000034,53006.700000000004,0.020160295930949448
110,L47289,L,298.9,308.7,1572.0,34.1,80.0,0,0,9.800000000000011,53605.200000000004,0.02167832167832168
111,L47290,L,298.8,308.6,1872.0,22.5,82.0,0,0,9.800000000000011,42120.0,0.01201281366791244
112,H29525,H,298.7,308.6,1499.0,43.5,84.0,0,0,9.900000000000034,65206.5,0.029
113,M14972,M,298.8,308.7,1498.0,39.5,89.0,0,0,9.899999999999977,59171.0,0.026350900600400268
114,M14973,M,298.8,308.6,1486.0,41.9,92.0,0,0,9.800000000000011,62263.4,0.028177538668459987
115,L47294,L,298.8,308.6,1680.0,29.4,95.0,0,0,9.800000000000011,49392.0,0.017489589530041642
116,L47295,L,298.8,308.6,1431.0,45.7,97.0,0,0,9.800000000000011,65396.700000000004,0.031913407821229055
117,L47296,L,298.9,308.7,1564.0,34.1,99.0,0,0,9.800000000000011,53332.4,0.021789137380191694
118,L47297,L,298.8,308.6,1599.0,33.0,101.0,0,0,9.800000000000011,52767.0,0.020625
119,M14978,M,298.8,308.6,1707.0,28.1,103.0,0,0,9.800000000000011,47966.700000000004,0.016451990632318503
120,L47299,L,298.7,308.5,1467.0,40.7,106.0,0,0,9.800000000000011,59706.9,0.02772479564032698
121,L47300,L,298.9,308.7,1433.0,44.7,108.0,0,0,9.800000000000011,64055.100000000006,0.031171548117154814
122,L47301,L,298.9,308.7,1558.0,41.2,110.0,0,0,9.800000000000011,64189.600000000006,0.026427196921103274
123,L47302,L,299.0,308.8,1310.0,50.7,112.0,0,0,9.800000000000011,66417.0,0.03867276887871854
124,L47303,L,298.9,308.7,1546.0,43.4,114.0,0,0,9.800000000000011,67096.4,0.028054298642533934
125,L47304,L,298.9,308.7,1727.0,29.4,116.0,0,0,9.800000000000011,50773.799999999996,0.017013888888888887
126,L47305,L,298.9,308.6,1560.0,32.2,118.0,0,0,9.700000000000045,50232.00000000001,0.020627802690582963
127,L47306,L,299.0,308.6,1329.0,60.5,120.0,0,0,9.600000000000023,80404.5,0.04548872180451128
128,L47307,L,298.9,308.6,1413.0,46.5,122.0,0,0,9.700000000000045,65704.5,0.03288543140028288
129,L47308,L,299.0,310.1,1587.0,38.6,124.0,0,0,11.100000000000023,61258.200000000004,0.02430730478589421
130,L47309,L,298.9,308.5,1559.0,34.3,126.0,0,0,9.600000000000023,53473.7,0.021987179487179487
131,L47310,L,298.8,308.4,1473.0,41.1,128.0,0,0,9.599999999999966,60540.3,0.027883310719131617
132,L47311,L,298.8,308.4,1737.0,27.7,130.0,0,0,9.599999999999966,48114.9,0.015937859608745684
133,M14992,M,298.7,308.4,1441.0,43.2,132.0,0,0,9.699999999999989,62251.200000000004,0.02995839112343967
134,M14993,M,298.7,308.4,1430.0,49.6,135.0,0,0,9.699999999999989,70928.0,0.03466107617051013
135,L47314,L,298.8,308.4,1369.0,53.0,138.0,0,0,9.599999999999966,72557.0,0.03868613138686131
136,M14995,M,298.8,308.5,1711.0,28.5,140.0,0,0,9.699999999999989,48763.5,0.01664719626168224
137,H29550,H,298.7,308.5,1420.0,45.7,143.0,0,0,9.800000000000011,64894.00000000001,0.03216045038705138
138,L47317,L,298.7,308.6,1297.0,55.3,148.0,0,0,9.900000000000034,71724.09999999999,0.0426040061633282
139,H29552,H,298.8,308.6,1449.0,49.4,150.0,0,0,9.800000000000011,71580.59999999999,0.03406896551724138
140,L47319,L,298.8,308.6,1268.0,55.8,155.0,0,0,9.800000000000011,70754.4,0.04397163120567376
141,L47320,L,298.8,308.6,1511.0,36.1,157.0,0,0,9.800000000000011,54547.1,0.023875661375661376
142,L47321,L,298.7,308.5,1544.0,35.2,159.0,0,0,9.800000000000011,54348.8,0.0227831715210356
143,M15002,M,298.6,308.4,1778.0,28.2,161.0,0,0,9.799999999999955,50139.6,0.015851602023608767
144,H29557,H,298.6,308.4,1407.0,50.5,164.0,0,0,9.799999999999955,71053.5,0.03586647727272727
145,M15004,M,298.6,308.4,1391.0,42.4,169.0,0,0,9.799999999999955,58978.4,0.03045977011494253
146,L47325,L,298.5,308.4,1513.0,33.6,172.0,0,0,9.899999999999977,50836.8,0.022192866578599736
147,H29560,H,298.5,308.4,1612.0,36.1,174.0,0,0,9.899999999999977,58193.200000000004,0.022380657160570368
148,L47327,L,298.4,308.4,1515.0,40.1,179.0,0,0,10.0,60751.5,0.02645118733509235
149,M15008,M,298.3,308.3,1379.0,48.0,181.0,0,0,10.0,66192.0,0.034782608695652174
150,L47329,L,298.4,308.3,1473.0,39.9,184.0,0,0,9.900000000000034,58772.7,0.027069199457259156
151,L47330,L,298.4,308.3,1422.0,42.7,186.0,0,0,9.900000000000034,60719.4,0.03000702740688686
152,M15011,M,298.4,308.2,1463.0,37.6,188.0,0,0,9.800000000000011,55008.8,0.02568306010928962
153,M15012,M,298.4,308.2,1584.0,41.0,191.0,0,0,9.800000000000011,64944.0,0.025867507886435333
154,L47333,L,298.4,308.2,1850.0,27.0,194.0,0,0,9.800000000000011,49950.0,0.014586709886547812
155,L47334,L,298.4,308.2,1528.0,36.2,196.0,0,0,9.800000000000011,55313.600000000006,0.023675604970569
156,H29569,H,298.4,308.2,1987.0,19.8,198.0,0,0,9.800000000000011,39342.6,0.009959758551307847
157,M15016,M,298.4,308.1,1495.0,46.0,203.0,0,0,9.700000000000045,68770.0,0.03074866310160428
158,H29571,H,298.4,308.2,1478.0,43.5,206.0,0,0,9.800000000000011,64293.0,0.029411764705882353
159,M15018,M,298.4,308.2,1499.0,40.0,211.0,0,0,9.800000000000011,59960.0,0.02666666666666667
160,L47339,L,298.4,308.2,1471.0,47.0,214.0,0,0,9.800000000000011,69137.0,0.03192934782608696
161,L47340,L,298.4,308.2,1282.0,60.7,216.0,1,0,9.800000000000011,77817.40000000001,0.04731098986749805
162,L47341,L,298.3,308.1,1412.0,52.3,218.0,1,0,9.800000000000011,73847.59999999999,0.03701344656758669
163,L47342,M,298.3,308.1,1586.0,35.5,0.0,0,0,9.800000000000011,56303.0,0.02236925015752993
164,M15023,M,298.4,308.2,1468.0,43.8,2.0,0,0,9.800000000000011,64298.399999999994,0.029816201497617423
165,M15024,M,298.5,308.3,1440.0,43.6,5.0,0,0,9.800000000000011,62784.0,0.030256766134628733
166,L47345,L,298.5,308.4,1733.0,26.0,8.0,0,0,9.899999999999977,45058.0,0.014994232987312572
167,H29580,H,298.4,308.2,1612.0,32.6,10.0,0,0,9.800000000000011,52551.200000000004,0.020210787352758837
168,H29581,H,298.4,308.3,1458.0,42.9,15.0,0,0,9.900000000000034,62548.2,0.02940370116518163
169,L47348,L,298.4,308.3,1433.0,62.3,20.0,1,0,9.900000000000034,89275.9,0.04344490934449093
170,L47349,L,298.4,308.3,1318.0,59.1,22.0,0,0,9.900000000000034,77893.8,0.04480667172100076
171,M15030,M,298.4,308.2,1610.0,35.0,24.0,0,0,9.800000000000011,56350.0,0.021725636250775917
172,L47351,L,298.2,308.1,1462.0,50.8,27.0,0,0,9.900000000000034,74269.59999999999,0.03472317156527683
173,M15032,M,298.1,308.0,1924.0,20.8,29.0,0,0,9.899999999999977,40019.200000000004,0.010805194805194806
174,M15033,M,298.2,308.0,1591.0,33.7,32.0,0,0,9.800000000000011,53616.700000000004,0.021168341708542714
175,L47354,L,298.2,308.1,1306.0,58.3,35.0,0,0,9.900000000000034,76139.8,0.04460596786534047
176,L47355,L,298.2,308.1,1382.0,43.5,37.0,0,0,9.900000000000034,60117.0,0.031453362255965296
177,L47356,L,298.2,308.1,1618.0,34.7,39.0,0,0,9.900000000000034,56144.600000000006,0.021432983323038914
178,L47357,L,298.2,308.2,1988.0,21.4,41.0,0,0,10.0,42543.2,0.010759175465057818
179,L47358,L,298.2,308.2,1436.0,50.2,43.0,0,0,10.0,72087.2,0.0349338900487126
180,L47359,L,298.2,308.3,1304.0,49.8,45.0,0,0,10.100000000000023,64939.2,0.03816091954022988
181,L47360,L,298.2,308.3,1475.0,49.9,47.0,0,0,10.100000000000023,73602.5,0.03380758807588076
182,H29595,H,298.2,308.3,1824.0,24.2,49.0,0,0,10.100000000000023,44140.799999999996,0.01326027397260274
183,M15042,M,298.1,308.2,1342.0,48.1,54.0,0,0,10.099999999999966,64550.200000000004,0.03581533879374535
184,L47363,L,298.1,308.2,1485.0,40.7,57.0,0,0,10.099999999999966,60439.50000000001,0.027388963660834455
185,L47364,L,298.2,308.2,1667.0,30.6,59.0,0,0,10.0,51010.200000000004,0.018345323741007197
186,L47365,L,298.2,308.2,1446.0,38.2,61.0,0,0,10.0,55237.200000000004,0.02639944713199724
187,L47366,L,298.1,308.3,1301.0,56.0,63.0,0,0,10.199999999999989,72856.0,0.043010752688172046
188,L47367,L,298.2,308.4,1379.0,43.1,65.0,0,0,10.199999999999989,59434.9,0.031231884057971015
189,L47368,L,298.3,308.5,1606.0,33.6,67.0,0,0,10.199999999999989,53961.600000000006,0.0209085252022402
190,M15049,M,298.3,308.4,1539.0,43.4,69.0,0,0,10.099999999999966,66792.59999999999,0.02818181818181818
191,L47370,L,298.2,308.4,1477.0,49.9,72.0,0,0,10.199999999999989,73702.3,0.03376184032476319
192,L47371,L,298.2,308.4,1666.0,34.6,74.0,0,0,10.199999999999989,57643.600000000006,0.020755848830233955
193,H29606,H,298.2,308.4,1398.0,51.8,76.0,0,0,10.199999999999989,72416.4,0.037026447462473196
194,H29607,H,298.2,308.4,1678.0,34.6,81.0,0,0,10.199999999999989,58058.8,0.02060750446694461
195,M15054,M,298.2,308.5,2678.0,10.7,86.0,1,0,10.300000000000011,28654.6,0.003994027622247107
196,L47375,L,298.3,308.5,1453.0,42.9,89.0,0,0,10.199999999999989,62333.7,0.029504814305364512
197,H29610,H,298.3,308.6,1432.0,49.5,91.0,0,0,10.300000000000011,70884.0,0.03454291695743196
198,M15057,M,298.4,308.6,1527.0,40.9,96.0,0,0,10.200000000000045,62454.299999999996,0.026767015706806282
199,L47378,L,298.4,308.7,1588.0,35.0,99.0,0,0,10.300000000000011,55580.0,0.022026431718061675
200,L47379,L,298.4,308.6,1433.0,47.1,101.0,0,0,10.200000000000045,67494.3,0.03284518828451883
201,L47380,L,298.4,308.6,1609.0,35.0,103.0,0,0,10.200000000000045,56315.0,0.021739130434782608
202,L47381,L,298.3,308.5,1575.0,41.2,105.0,0,0,10.199999999999989,64890.00000000001,0.026142131979695435
203,M15062,M,298.4,308.5,1636.0,35.7,107.0,0,0,10.100000000000023,58405.200000000004,0.021808185705558952
204,L47383,L,298.4,308.5,1490.0,37.9,110.0,0,0,10.100000000000023,56471.0,0.025419181757209926
205,L47384,L,298.4,308.5,1741.0,32.8,112.0,0,0,10.100000000000023,57104.799999999996,0.018828932261768083
206,M15065,M,298.5,308.6,1344.0,53.0,114.0,0,0,10.100000000000023,71232.0,0.03940520446096654
207,L47386,L,298.5,308.7,1609.0,35.3,117.0,0,0,10.199999999999989,56797.7,0.021925465838509316
208,M15067,M,298.4,308.7,1421.0,60.7,119.0,1,0,10.300000000000011,86254.7,0.04268635724331927
209,L47388,L,298.4,308.6,1591.0,36.7,122.0,0,0,10.200000000000045,58389.700000000004,0.02305276381909548
210,L47389,L,298.4,308.6,1477.0,44.0,108.0,0,0,10.200000000000045,64988.0,0.029769959404600813
211,L47390,L,298.4,308.7,1523.0,36.1,126.0,0,0,10.300000000000011,54980.3,0.023687664041994752
212,L47391,L,298.5,308.7,1575.0,33.9,128.0,0,0,10.199999999999989,53392.5,0.021510152284263957
213,H29626,H,298.4,308.7,1344.0,52.9,130.0,0,0,10.300000000000011,71097.59999999999,0.03933085501858736
214,L47393,L,298.4,308.7,1386.0,44.9,135.0,0,0,10.300000000000011,62231.4,0.032372025955299207
215,M15074,M,298.3,308.6,1589.0,37.1,137.0,0,0,10.300000000000011,58951.9,0.023333333333333334
216,L47395,L,298.3,308.6,1548.0,40.3,140.0,0,0,10.300000000000011,62384.399999999994,0.02601678502259522
217,L47396,L,298.3,308.6,1499.0,38.3,142.0,0,0,10.300000000000011,57411.7,0.02553333333333333
218,L47397,L,298.3,308.5,1664.0,31.6,144.0,0,0,10.199999999999989,52582.4,0.018978978978978978
219,L47398,L,298.3,308.6,1447.0,38.1,146.0,0,0,10.300000000000011,55130.700000000004,0.026312154696132597
220,M15079,M,298.3,308.5,1434.0,46.2,148.0,0,0,10.199999999999989,66250.8,0.03219512195121951
221,L47400,L,298.3,308.5,1416.0,52.7,151.0,0,0,10.199999999999989,74623.2,0.037191249117854625
222,H29635,H,298.4,308.5,1827.0,24.3,153.0,0,0,10.100000000000023,44396.1,0.013293216630196936
223,L47402,L,298.4,308.6,1304.0,45.0,158.0,0,0,10.200000000000045,58680.0,0.034482758620689655
224,L47403,L,298.4,308.6,1569.0,34.4,160.0,0,0,10.200000000000045,53973.6,0.021910828025477707
225,L47404,L,298.3,308.6,1584.0,29.3,162.0,0,0,10.300000000000011,46411.200000000004,0.018485804416403784
226,L47405,L,298.3,308.5,1362.0,53.8,164.0,0,0,10.199999999999989,73275.59999999999,0.03947175348495965
227,L47406,L,298.3,308.4,1329.0,49.2,166.0,0,0,10.099999999999966,65386.8,0.03699248120300752
228,L47407,L,298.3,308.5,1539.0,36.1,168.0,0,0,10.199999999999989,55557.9,0.023441558441558444
229,M15088,M,298.3,308.5,1629.0,37.1,170.0,0,0,10.199999999999989,60435.9,0.02276073619631902
230,L47409,L,298.3,308.5,1538.0,32.2,173.0,0,0,10.199999999999989,49523.600000000006,0.02092267706302794
231,L47410,L,298.3,308.6,1570.0,34.8,175.0,0,0,10.300000000000011,54635.99999999999,0.022151495862507954
232,L47411,L,298.3,308.4,1408.0,43.1,177.0,0,0,10.099999999999966,60684.8,0.03058907026259759
233,L47412,L,298.2,308.4,1424.0,47.6,179.0,0,0,10.199999999999989,67782.40000000001,0.033403508771929824
234,L47413,L,298.2,308.4,1512.0,34.9,181.0,0,0,10.199999999999989,52768.799999999996,0.02306675479180436
235,L47414,L,298.2,308.4,1478.0,42.9,183.0,0,0,10.199999999999989,63406.2,0.02900608519269777
236,M15095,M,298.1,308.3,1680.0,33.7,185.0,0,0,10.199999999999989,56616.00000000001,0.02004759071980964
237,L47416,L,298.1,308.3,1495.0,38.7,188.0,0,0,10.199999999999989,57856.50000000001,0.025868983957219253
238,M15097,M,298.0,308.1,1552.0,36.6,190.0,0,0,10.100000000000023,56803.200000000004,0.023567289117836447
239,L47418,L,297.9,308.1,1393.0,50.3,193.0,0,0,10.200000000000045,70067.9,0.0360832137733142
240,L47419,L,298.0,308.2,1611.0,30.6,195.0,0,0,10.199999999999989,49296.600000000006,0.018982630272952855
241,M15100,M,298.0,308.1,1339.0,51.6,197.0,0,0,10.100000000000023,69092.40000000001,0.038507462686567163
242,L47421,L,298.0,308.1,1777.0,24.3,200.0,0,0,10.100000000000023,43181.1,0.013667041619797525
243,L47422,L,298.0,308.2,1348.0,58.8,202.0,1,0,10.199999999999989,79262.4,0.043587842846553
244,L47423,L,298.0,308.2,1442.0,44.1,204.0,0,0,10.199999999999989,63592.200000000004,0.030561330561330563
245,M15104,M,298.0,308.2,1395.0,49.1,206.0,0,0,10.199999999999989,68494.5,0.03517191977077364
246,M15105,L,297.9,308.1,1627.0,31.4,209.0,0,0,10.200000000000045,51087.799999999996,0.019287469287469286
247,L47426,L,297.9,308.1,1585.0,33.5,212.0,0,0,10.200000000000045,53097.5,0.02112232030264817
248,L47427,L,298.0,308.2,1469.0,45.5,214.0,0,0,10.199999999999989,66839.5,0.030952380952380953
249,L47428,L,298.0,308.3,1362.0,56.8,216.0,1,0,10.300000000000011,77361.59999999999,0.041672780630961116
